game_pk,game_date,home_team,away_team,delta_home_win_exp
41214,2006-07-06,CLE,NYY,1.214
40009,2006-07-08,NYM,MIA,1.21
41216,2006-07-06,KC,TOR,1.146
41224,2006-07-07,ATL,CIN,1.11
41226,2006-07-07,CLE,BAL,0.962
41205,2006-07-05,NYM,PIT,0.896
41197,2006-07-05,ATL,STL,0.828
41288,2006-07-14,SD,ATL,7.514
41306,2006-07-15,TOR,SEA,6.903
41276,2006-07-13,STL,LAD,6.29
41317,2006-07-16,PIT,WSH,5.776
41321,2006-07-16,TOR,SEA,5.364
41302,2006-07-15,PIT,WSH,5.36
41340,2006-07-18,MIA,WSH,5.095
41271,2006-07-13,BOS,OAK,4.787
41314,2006-07-16,LAA,TB,4.541
41282,2006-07-14,DET,KC,4.523
41296,2006-07-15,CIN,COL,4.452
41343,2006-07-18,NYY,SEA,4.084
41330,2006-07-17,SD,PHI,3.92
41305,2006-07-15,STL,LAD,3.878
41285,2006-07-14,MIN,CLE,3.596
41286,2006-07-14,NYY,CWS,3.478
41346,2006-07-18,SF,MIL,3.452
41323,2006-07-17,BAL,OAK,3.407
41277,2006-07-14,AZ,MIL,3.384
41311,2006-07-16,CIN,COL,3.27
41335,2006-07-18,BAL,OAK,3.2560000000000002
41287,2006-07-14,PIT,WSH,3.246
41304,2006-07-15,SF,PHI,3.144
41274,2006-07-13,MIA,HOU,3.0340000000000003
41345,2006-07-18,SD,PHI,2.941
41316,2006-07-16,NYY,CWS,2.934
41329,2006-07-17,PIT,COL,2.8890000000000002
41328,2006-07-17,NYY,SEA,2.854
41319,2006-07-16,SF,PHI,2.806
41313,2006-07-16,MIA,HOU,2.757
41326,2006-07-17,LAA,CLE,2.673
41289,2006-07-14,SF,PHI,2.576
41275,2006-07-13,MIN,CLE,2.556
41348,2006-07-18,TOR,TEX,2.555
41273,2006-07-13,DET,KC,2.553
41331,2006-07-17,SF,MIL,2.5
41327,2006-07-17,MIN,TB,2.5
41295,2006-07-15,CHC,NYM,2.498
41284,2006-07-14,LAA,TB,2.464
41318,2006-07-16,SD,ATL,2.46
41324,2006-07-17,BOS,KC,2.45
41291,2006-07-14,TOR,SEA,2.445
41278,2006-07-14,BAL,TEX,2.358
41337,2006-07-18,CHC,HOU,2.315
41281,2006-07-14,CIN,COL,2.304
41338,2006-07-18,CIN,NYM,2.302
41270,2006-07-13,BAL,TEX,2.216
41334,2006-07-18,AZ,LAD,2.2039999999999997
41312,2006-07-16,DET,KC,2.174
41320,2006-07-16,STL,LAD,2.17
41310,2006-07-16,CHC,NYM,2.168
41272,2006-07-13,CIN,COL,2.162
41300,2006-07-15,MIN,CLE,2.08
41315,2006-07-16,MIN,CLE,2.066
41325,2006-07-17,MIA,WSH,2.05
41299,2006-07-15,LAA,TB,2.031
41341,2006-07-18,LAA,CLE,2.029
41322,2006-07-17,AZ,LAD,1.984
41309,2006-07-16,BOS,OAK,1.924
41339,2006-07-18,DET,CWS,1.918
41333,2006-07-17,TOR,TEX,1.838
41280,2006-07-14,CHC,NYM,1.806
41336,2006-07-18,BOS,KC,1.783
41279,2006-07-14,BOS,OAK,1.676
41303,2006-07-15,SD,ATL,1.636
41283,2006-07-14,MIA,HOU,1.582
41307,2006-07-16,AZ,MIL,1.542
41298,2006-07-15,MIA,HOU,1.524
41308,2006-07-16,BAL,TEX,1.492
41301,2006-07-15,NYY,CWS,1.35
41297,2006-07-15,DET,KC,1.331
41332,2006-07-17,STL,ATL,1.266
41293,2006-07-15,BAL,TEX,1.18
41290,2006-07-14,STL,LAD,1.144
41294,2006-07-15,BOS,OAK,1.1280000000000001
41292,2006-07-15,AZ,MIL,1.11
41344,2006-07-18,PIT,COL,1.06
41342,2006-07-18,MIN,TB,1.008
41347,2006-07-18,STL,ATL,0.8
41439,2006-07-25,PHI,AZ,6.34
41413,2006-07-23,SF,SD,5.857
41421,2006-07-24,LAD,SD,5.15
41414,2006-07-23,SEA,BOS,4.93
41360,2006-07-19,SD,PHI,4.656
41408,2006-07-23,MIA,PIT,4.46
41366,2006-07-20,CIN,NYM,4.424
41387,2006-07-21,WSH,CHC,4.346
